Gender,Year,Title,Total
F,2015-16,Professor,3
F,2015-16,Assoc Prof,8
F,2015-16,Asst Prof,21
M,2015-16,Professor,12
M,2015-16,Assoc Prof,17
M,2015-16,Asst Prof,22
F,2014-15,Professor,5
F,2014-15,Assoc Prof,5
F,2014-15,Asst Prof,26
M,2014-15,Professor,17
M,2014-15,Assoc Prof,12
M,2014-15,Asst Prof,20
F,2013-14,Professor,10
F,2013-14,Assoc Prof,10
F,2013-14,Asst Prof,45
M,2013-14,Professor,21
M,2013-14,Assoc Prof,19
M,2013-14,Asst Prof,27
F,2012-13,Professor,4
F,2012-13,Assoc Prof,15
F,2012-13,Asst Prof,25
M,2012-13,Professor,18
M,2012-13,Assoc Prof,21
M,2012-13,Asst Prof,31
F,2011-12,Professor,5
F,2011-12,Assoc Prof,15
F,2011-12,Asst Prof,17
M,2011-12,Professor,14
M,2011-12,Assoc Prof,12
M,2011-12,Asst Prof,27
F,2010-11,Professor,5
F,2010-11,Assoc Prof,10
F,2010-11,Asst Prof,29
M,2010-11,Professor,12
M,2010-11,Assoc Prof,19
M,2010-11,Asst Prof,32
F,2009-10,Professor,4
F,2009-10,Assoc Prof,6
F,2009-10,Asst Prof,24
M,2009-10,Professor,20
M,2009-10,Assoc Prof,14
M,2009-10,Asst Prof,18
F,2008-09,Professor,3
F,2008-09,Assoc Prof,7
F,2008-09,Asst Prof,20
M,2008-09,Professor,16
M,2008-09,Assoc Prof,19
M,2008-09,Asst Prof,19
F,2007-08,Professor,6
F,2007-08,Assoc Prof,10
F,2007-08,Asst Prof,20
M,2007-08,Professor,17
M,2007-08,Assoc Prof,26
M,2007-08,Asst Prof,31
F,2006-07,Professor,6
F,2006-07,Assoc Prof,9
F,2006-07,Asst Prof,27
M,2006-07,Professor,17
M,2006-07,Assoc Prof,12
M,2006-07,Asst Prof,28